"filename", "language", "TypeScript", "TypeScript React", "JSON with Comments", "JavaScript", "XML", "CSS", "Markdown", "JSON", "comment", "blank", "total"
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/shop/[handle]/layout.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/shop/[handle]/page.tsx", "TypeScript React", 0, 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/shop/layout.tsx", "TypeScript React", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/shop/loading.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/shop/page.tsx", "TypeScript React", 0, 91, 0, 0, 0, 0, 0, 0, 0, 8, 99
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/swiper-custom.css", "CSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 7, 38
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/webhooks/shopify-events/products/route.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/UI/Logo.tsx", "TypeScript React", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/UI/ReviewStars.tsx", "TypeScript React", 0, 37, 0, 0, 0, 0, 0, 0, 0, 8, 45
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/UI/SplashScreen.tsx", "TypeScript React", 0, 82, 0, 0, 0, 0, 0, 0, 0, 12, 94
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/Accordion.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/Announcement.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/Breadcrumbs.tsx", "TypeScript React", 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/Button.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 5, 3, 26
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/ContactForm.tsx", "TypeScript React", 0, 173, 0, 0, 0, 0, 0, 0, 0, 23, 196
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/ContactMap.tsx", "TypeScript React", 0, 78, 0, 0, 0, 0, 0, 0, 0, 7, 85
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/NewReviewForm.tsx", "TypeScript React", 0, 224, 0, 0, 0, 0, 0, 0, 2, 28, 254
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/PaginationBar.tsx", "TypeScript React", 0, 61, 0, 0, 0, 0, 0, 0, 0, 7, 68
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/ReturnForm.tsx", "TypeScript React", 0, 190, 0, 0, 0, 0, 0, 0, 0, 23, 213
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/SearchBar.tsx", "TypeScript React", 0, 166, 0, 0, 0, 0, 0, 0, 4, 11, 181
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/product-menu/ProductMenu.tsx", "TypeScript React", 0, 47, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/actions/product-menu/ProductMenuGroup.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/AboutSubpage.tsx", "TypeScript React", 0, 560, 0, 0, 0, 0, 0, 0, 0, 15, 575
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/Ankle.tsx", "TypeScript React", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/Border.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/Cart.tsx", "TypeScript React", 0, 204, 0, 0, 0, 0, 0, 0, 1, 17, 222
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/CausesGallery.tsx", "TypeScript React", 0, 68, 0, 0, 0, 0, 0, 0, 0, 4, 72
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/CookieBar.tsx", "TypeScript React", 0, 38, 0, 0, 0, 0, 0, 0, 0, 9, 47
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/Hero.tsx", "TypeScript React", 0, 57, 0, 0, 0, 0, 0, 0, 0, 4, 61
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ImageWithText.tsx", "TypeScript React", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/Lightbox.tsx", "TypeScript React", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/PageLinkCard.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/PageLinkCards.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductCard.tsx", "TypeScript React", 0, 82, 0, 0, 0, 0, 0, 0, 0, 7, 89
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductGallery.tsx", "TypeScript React", 0, 99, 0, 0, 0, 0, 0, 0, 6, 7, 112
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductImages.tsx", "TypeScript React", 0, 106, 0, 0, 0, 0, 0, 0, 0, 10, 116
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductPanel.tsx", "TypeScript React", 0, 216, 0, 0, 0, 0, 0, 0, 6, 9, 231
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductReviews.tsx", "TypeScript React", 0, 236, 0, 0, 0, 0, 0, 0, 1, 17, 254
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/RewardsBanner.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/footer/Footer.tsx", "TypeScript React", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/footer/FooterLinkGroup.tsx", "TypeScript React", 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/footer/FooterLinks.tsx", "TypeScript React", 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/footer/SocialMediaIcons.tsx", "TypeScript React", 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/header/Header.tsx", "TypeScript React", 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/header/NavMenu.tsx", "TypeScript React", 0, 177, 0, 0, 0, 0, 0, 0, 0, 9, 186
"/home/cjfritz/dev/freelance-work/full-blast-gear/context/CartContext.tsx", "TypeScript React", 0, 80, 0, 0, 0, 0, 0, 0, 0, 13, 93
"/home/cjfritz/dev/freelance-work/full-blast-gear/index.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/cjfritz/dev/freelance-work/full-blast-gear/judgedotme/utils.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 10, 65
"/home/cjfritz/dev/freelance-work/full-blast-gear/lib/hooks/useIsClient.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"/home/cjfritz/dev/freelance-work/full-blast-gear/lib/hooks/useLightbox.tsx", "TypeScript React", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/home/cjfritz/dev/freelance-work/full-blast-gear/lib/static/links.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"/home/cjfritz/dev/freelance-work/full-blast-gear/lib/static/loading-quips.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/home/cjfritz/dev/freelance-work/full-blast-gear/next.config.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 3, 3, 20
"/home/cjfritz/dev/freelance-work/full-blast-gear/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 47, 0, 1, 48
"/home/cjfritz/dev/freelance-work/full-blast-gear/postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"/home/cjfritz/dev/freelance-work/full-blast-gear/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/cjfritz/dev/freelance-work/full-blast-gear/public/vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/content/content.model.ts", "TypeScript", 197, 0, 0, 0, 0, 0, 0, 0, 0, 26, 223
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/content/richtext-to-html.tsx", "TypeScript React", 0, 106, 0, 0, 0, 0, 0, 0, 0, 22, 128
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/products/products.model.ts", "TypeScript", 239, 0, 0, 0, 0, 0, 0, 0, 0, 18, 257
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/shopify-admin-client.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/shopify-store-client.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/utils.ts", "TypeScript", 201, 0, 0, 0, 0, 0, 0, 0, 2, 27, 230
"/home/cjfritz/dev/freelance-work/full-blast-gear/tailwind.config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/cjfritz/dev/freelance-work/full-blast-gear/theme/index.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/home/cjfritz/dev/freelance-work/full-blast-gear/tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 0, 0, 2, 1, 28
"Total", "-", 1733, 6715, 28, 20, 2, 70, 23, 47, 89, 794, 9521
